headerdatestamp|headeridentifier|headersetSpec|metadata.oai_dc:dc.dc:contributor.0|metadata.oai_dc:dc.dc:contributor.1|metadata.oai_dc:dc.dc:creator.0|metadata.oai_dc:dc.dc:creator.1|metadata.oai_dc:dc.dc:creator.2|metadata.oai_dc:dc.dc:creator.3|metadata.oai_dc:dc.dc:description.0|metadata.oai_dc:dc.dc:description.1|metadata.oai_dc:dc.dc:subject.0|metadata.oai_dc:dc.dc:subject.1|metadata.oai_dc:dc.dc:subject.2|metadata.oai_dc:dc.dc:subject.3|metadata.oai_dc:dc.dc:subject.4|metadata.oai_dc:dc.dc:subject.5|metadata.oai_dc:dc.dc:subject.6|metadata.oai_dc:dc.dc:subject.7|metadata.oai_dc:dc.dc:title.0|metadata.oai_dc:dc.dc:title.1|metadata.oai_dc:dc@xmlns:dc|metadata.oai_dc:dc@xmlns:oai_dc|metadata.oai_dc:dc@xmlns:xsi|metadata.oai_dc:dc@xsi:schemaLocation|metadata.oai_dc:dcdc:contributor|metadata.oai_dc:dcdc:creator|metadata.oai_dc:dcdc:date|metadata.oai_dc:dcdc:description|metadata.oai_dc:dcdc:format|metadata.oai_dc:dcdc:identifier|metadata.oai_dc:dcdc:language|metadata.oai_dc:dcdc:publisher|metadata.oai_dc:dcdc:rights|metadata.oai_dc:dcdc:subject|metadata.oai_dc:dcdc:title|metadata.oai_dc:dcdc:type
2009-03-06T21:35:03Z|CH076|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch076|"This is a copy of the official opinion of the Supreme Court of the U.S., delivered by Chief Justice John Marshall, on the motion filed by the Cherokee Nation for an injunction against the state of Georgia. The Cherokees sought the opinion of the court on the issue of Georgia's right to extend its jurisdiction over the Cherokee Nation, effectively depriving them of their sovereignty. Marshall's decision here indicates that the Cherokees cannot be strictly considered foreign nations, as they had argued, and are instead considered ""wards of the state,"" or ""domestic dependents."" This decision was delivered in the January term of 1831 and is of extreme significance in the development of Indian Removal issues."|Georgia|Cherokee Indians -- Claims|Cherokee Indians -- Government relations|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |Marshall, John, 1755-1835|1831-01-00|    |Text/html|http://idserver.utk.edu/?id=200300000000094|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |Opinion of the Supreme Court of the United States, 1831 Jan. / delivered by Chief Justice [John] Marshall on a motion of the Cherokee Nation for a writ of injunction and subpoena against the State of Georgia: a machine-readable transcription|Text
2009-03-06T21:35:03Z|CH001|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch001|This document is a letter from William Carroll, Governor of Tennessee (1821-1827, 1829-1835), to John Ross, Principal Chief of the Cherokee Nation, dated August 29, 1829. Carroll informs Ross that the President is very interested in the removal of the Cherokees to a territory west of the Mississippi River, specifically in light of recent decisions by certain states to extend their jurisdiction over the Cherokee Nation. Carroll requests a meeting with the principal chiefs and impresses on them the importance of settling these matters peacefully.|Southern States|Ross, John, 1790-1866|Cherokee Indians -- Relocation|Letters|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |Tennessee. Governor (1829-1835 : Carroll)|1829-08-29|    |Text/html|http://idserver.utk.edu/?id=200300000000032|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville,TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Letter] 1829 Aug. 29, New Town, Cherokee Nation [to] Jno. [i.e., John] Ross / William Carroll: a machine-readable transcription|Text
2009-03-06T21:35:03Z|CH077|tdh|    |    |    |    |    |    |Document ID: ch077|This document is a general order from Brigadier General John E. Wool, at army headquarters at Fort Cass, (Tennessee), dated November 3, 1836. The order contains directions from the President respecting the implementation of the Treaty of New Echota (signed 1835, ratified 1836), which provided for the removal of the Cherokee Indians to a territory west of the Mississippi River. Wool indicates that soldiers stationed in the Cherokee Nation are to prohibit any meetings of the Cherokee people for the purpose of opposing the removal treaty. In addition, it is stated that no delegation from the Cherokee Nation interested in renegotiating the terms of the treaty will be acknowledged.|Southern States|Cherokee Indians -- Relocation|Cherokee Indians -- Treaties|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|Wool, John Ellis, 1784-1869|1836-11-03|    |Text/html|http://idserver.utk.edu/?id=200300000000095|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |Order, 1836 Nov. 3, Headquarters, Fort Cass, [Tennessee] / Brig[adier] Gen[era]l John E. Wool: a machine-readable transcription|Text
2009-03-06T21:35:03Z|CH002|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch002|This is a letter from Benjamin Hawkins, U.S. agent to the Creek Indians, to Colonel Return J. Meigs, U.S. agent to the Cherokee Indians, dated October 6, 1804. Hawkins reports to Meigs that he has found several horses belonging to Abraham Bird. In addition, he commends Meigs on his plans to remove Wafford and Co., who have caused great distress to the Indians and inhibited further transactions. The letter is written from the Creek Agency and directed to Meigs at Southwest Point.|Cherokee Indians|Creek Indians|Indians, Treatment of|Indian agents|Tennessee|Letters|    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |Hawkins, Benjamin, 1754-1816|1804-10-06|    |Text/html|http://idserver.utk.edu/?id=200300000000033|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Letter] 1804 Oct. 6, Creek Agency [to] Colo[nel Return J.] Meigs, Southwest Point, [Tennessee] / Benjamin Hawkins: a machine-readable transcription|Text
2009-03-06T21:35:03Z|CH079|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch079|This document is a copy of military orders from Brigadier General John E. Wool at the army headquarters in New Echota, Georgia (the capital of the Cherokee Nation), dated November 22, 1836. Wool transmits twelve regulations governing the distribution of rations among the Cherokees. The amount of rations delivered is to be based on the age of the recipient, and close account is to be kept. In addition, Wool orders that any Cherokee suspected of intemperance shall receive no issues.|Georgia|Survival and emergency rations|Cherokee Indians|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |Wool, John Ellis, 1784-1869|1836-11-22|    |Text/html|http://idserver.utk.edu/?id=200300000000097|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Orders] 1836 Nov. 22, Headquarters, New Echota, Geo[rgia] / Brig[adier] Gen[era]l John E. Wool : a machine-readable transcription|Text
2009-03-06T21:35:03Z|CH003|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch003|"This document is a letter from Evan Jones, a Baptist missionary at the Valley Towns (North Carolina) of the Cherokee Nation, to James Barbour, Secretary of War (1825-1828), dated November 15, 1826. Jones communicates information to Barbour relative to the progress of various industries in the Cherokee Nation, most notably the establishment of several mills. The improvements have been made under the direction of the Board of managers of the Baptist General Convention and also include a well attended school. Jones also remarks on the general ""progress"" of the Cherokees with respect to Christianity and the ""civilized arts."""|Baptists -- Missions|Cherokee Indians -- Economic conditions -- 19th century|Letters|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |Jones, Evan, 1788-1873|1826-11-15|    |Text/html|http://idserver.utk.edu/?id=200300000000034|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Letter] 1826 Nov. 15, Valley Towns, [North Carolina to] James Barbour, Sec[retar]y of War / Evan Jones: a machine-readable transcription|Text
2009-03-06T21:35:03Z|CH078|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch078|This document is an address from Brigadier General John E. Wool, at army headquarters in New Echota, to the Cherokees, dated March 22, 1837. Wool informs the Cherokees that they have until May 25, 1838 to remove to a territory west of the Mississippi according to the provisions of the New Echota Treaty (signed in 1835) or else be forced to remove by U.S. soldiers. Wool threatens them with despicable treatment and tells them their fate will be even worse than the Creeks if they do not cooperate and remove voluntarily.|Southern States|Creek Indians -- Violence against|Cherokee Indians -- Relocation|Trail of Tears, 1838|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |Wool, John Ellis, 1784-1869|1837-03-22|    |Text/html|http://idserver.utk.edu/?id=200300000000096|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Address] 1837 Mar. 22, Headquarters, New Echota, G[eorgi]a / Br[i]g[adier] Gen[era]l John E. Wool: a machine-readable transcription|Text
2009-03-06T21:35:03Z|CH004|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch004|This document is a letter written in the Cherokee syllabary from George Lowrey, Assistant Principal Chief, to John Ross, Principal Chief, dated January 5, 1838. Lowrey reports to Ross, who is in Washington, D.C. with a Cherokee delegation, on the status of the Cherokee Nation. He informs Ross that the Cherokees have been given an ultimatum for removal and are threatened with violence if they do not cooperate and prepare to leave. Lowrey has attempted to stall the progress of their removal and desperately desires communication from Ross. A type written translation appears with this document.|Southern States|Cherokee Nation|Trail of Tears, 1838|Letters|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |Lowrey, George|1838-01-05|    |Text/html|http://idserver.utk.edu/?id=200300000000035|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |Letter in Cherokee [with] translation, 1838 Jan. 5, to John Ross, Washington / George Lowrey: a machine-readable transcription|Text
2009-03-06T21:35:03Z|CH080|tdh|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|Thomas, William Holland, 1805-1893|    |Document ID: ch080|Text/html|http://idserver.utk.edu/?id=200300000000098|en|The University of Georgia Libraries|This work is the property of The University of Georgia Libraries. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Letter], 1857 Nov. 11, Washington City [to the] Secretary of the Treasury / W[illia]m H. Thomas: a machine-readable transcription|Text
2009-03-06T21:35:03Z|CH010|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch010|This is a letter from Joseph McMinn, U.S. agent to the Cherokee Indians at the Cherokee Agency in Tennessee, to John C. Calhoun, Secretary of War, dated October 27, 1824. McMinn reports to Calhoun on the claim of Mr. Elsworth, superintendent of the Brainerd Mission, and the Cherokee Nation that they are due funds for the construction of a building to house female students at the mission school. McMinn refers to previous correspondence between Return J. Meigs, his predecessor at the Cherokee Agency, and Calhoun on this matter.|Southern States|Indian agents|Brainerd Mission|Cherokee Indians -- Education|Letters|    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |McMinn, Joseph, 1758-1824|1824-10-27|    |Text/html|http://idserver.utk.edu/?id=200300000000036|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Letter] 1824 Oct. 27, Cherokee Agency [to] John C. Calhoun, Secretary of War / Joseph McMinn: a machine-readable transcription of an image|Text
